ja	and
ihailla	to adore, admire
lakkauttaa	to shut down, close down
rauhoittaa	to pacify, appease, reassure, calm quiet
lausua	to say, speak, utter, pronounce
kohdella	to treat, deal with
puhdistaa	to clean clear cleanse, purge, scour
korostua	to be emphasized, highlighted
kiehtoa	to fascinate, captivate
soveltua	to suit
turvautua	to resort
tarkkailla	to watch, to observe, to monitor
perehtyä	to get acquainted with, make oneself familiar with, familiarize oneself with, orientate oneself, read up on
kiistellä	to dispute, argue
pukeutua	"to get dressed, dress put one's clothes on"
heiketä	to weaken, become weaker
väsyä	to become/get tired, to fatigue
reagoida	to react on
ikääntyä	to age
repiä	to tear, shred, rip
välttyä	to escape
viimeistellä	to finish
ympäröidä	to surround, encircle, ring, wreath
kuluttaa	to wear out
perua	to withdraw, renege on, retract, take back, go back on, bum out on
luetella	to list, itemise/itemize, enumerate
koetella	to be a tribulation/adversity to, try
heijastua	to reflect
kerrata	to repeat or reread
puhaltaa	to blow
vastaanottaa	to receive
lykätä	to postpone
taipua	to become curved, to bend
räjähtää	to explode, burst, blow up
syöttää	to feed
työntää	to push
upota	to sink
kamppailla	to combat
asentaa	to install
hukkua	to drown
hakata	to hit something repeatedly, as a nail with a hammer or a log with an axe
kumota	to turn over, flip over, capsize
irtisanoa	to lay off
matkata	to travel
yleistyä	to become more common, to grow in number
kiusata	to tease to pester
sovittaa	to fit, try on
omata	to have
valua	to run, flow stream pour, drip
lunastaa	to reclaim
leikkiä	to play
vaalia	to cherish, treasure, foster, nurse or nurture
kiirehtiä	to hasten, to precipitate
hidastaa	to slow, slow down, slacken/reduce/cut speed, retard
rekisteröidä	to register, enter in a register
pysytellä	to stay
marssia	to march
laskeutua	to go down, descend
tyrmätä	to stun, knock out
luokitella	to classify, categorise/categorize
tasoittaa	to level
paneutua	to delve into, take up, go into to familiarize oneself with
poimia	to pick
yhtyä	to unite
supistua	to contract
ehkäistä	to prevent, keep from occurring, avert, block, bar
vertailla	to compare
satsata	to invest in
sortua	to crumble, fall, collapse, cave in
tinkiä	to haggle
kaupata	to pitch, sell
tunkeutua	to penetrate
pienetä	to grow smaller
aueta	to open
rasittaa	to strain, wear out
kiristyä	to tighten
hälyttää	to alarm
tiedottaa	to inform, make known, announce
vauhdittaa	to speed up, push, give a push
pilata	to spoil, ruin, blight, destroy
levätä	to rest, take a break/breather
toivottaa	to wish
erottua	to stand out
muokata	to work
vakuuttua	to beconvinced
heikentyä	to weaken, grow/become weaker
kohentaa	to poke
rakentua	to build
poikia	to calve; to litter
kustantaa	to publish
velvoittaa	to obligate
pakata	to pack
sopeutua	to adapt
rangaista	to punish, penalise/penalize, mete out a penalty/punishment for
valloittaa	to conquer, take
viljellä	to cultivate, farm, till
aleta	to descend, come/go down, move downwards
puhjeta	to pop, burst, to rupture
analysoida	to analyse/analyze
ilmaantua	to appear, to emerge
kartoittaa	to map
kohdistaa	to focus
lyhentää	to shorten
jakautua	to divide split
lukeutua	to belong, be counted as, be reckoned as
pienentää	to make smaller
vaarantaa	to risk, endanger, compromise
puoltaa	to pull
varoa	to be careful with/of, handle carefully
hiipua	to die down
pommittaa	to bomb
hioa	to make smoother: grind, whet, hone
käyttäytyä	to behave, conduct oneself, act
tykätä	to like, to be fond of
supistaa	to reduce
maata	to lie
mieliä	to wish, desire, want
mainostaa	to advertise
suoda	to give, allow, permit, grant
haaveilla	to dream
laukoa	to fire, shoot, repeatedly
peruuttaa	to reverse, to backspace
verottaa	to tax
naureskella	to laugh intermittently, often alternating with speech, as when telling a funny story
hämmästyttää	to amaze, astonish
hillitä	to control, restrain, check
sairastaa	to have be sick with
ylistää	to praise
yllättyä	to be surprised
investoida	to invest
vakiintua	to stabilize
kytkeä	to hook, hook up, connect, couple
myhäillä	to smile
vääntää	to wrench, twist
koettaa	to feel, touch
kallistua	to slope, lean, incline, tilt
murtaa	to break
nostattaa	to have something lifted or raised by somebody else
painostaa	to pressure
hävittää	to lose, misplace
kyllästyä	to be saturated, be impregnated
joustaa	to yield, bend
jutella	to chat
kiteyttää	to crystallize
selvitellä	to sort out
anoa	to ask, request, plead, beg, implore, entreat, petition, solicit
järjestäytyä	to get organized
tyhjentää	to empty
helpottua	to ease
lakata	to cease, come to an end, end, stop, finish
puristaa	to press
kiriä	to spurt
omaksua	to adopt, absorb, embrace
kritisoida	to criticize/criticise, fault
itkeä	to cry, weep
kivuta	to climb, scale, shin
kypsyä	to cook
huipentua	to culminate
sotkea	to mess
murhata	to murder
järkyttää	to shake, take aback
säästyä	to be spared, saved from
työstää	to machine, work, tool
laajentua	to expand, broaden, widen extend
pohjautua	to be based on
miehittää	to man
listata	to list
raportoida	to report
vaieta	to fall silent
valaista	to light, illuminate
keittää	to boil
säädellä	to regulate
esittäytyä	to introduce oneself, present oneself
tarjoilla	to serve, dish out
kiihdyttää	to accelerate
polkea	to stamp
riehua	to rage, rampage
viehättää	to attract, charm, allure
hirvittää	to horrify
niellä	to swallow
paikata	to patch, mend, sew
vannoa	to swear, take an oath, vow
luistella	to kate
siivota	to clean
kiinnostua	to become interested, intrigued, fascinated
syrjäyttää	to supplant, replace, displace
mahtaa	must do, to probably
karkottaa	to force away; to banish, exile
huoata	to sigh
ennättää	to make it arrive reach
malttaa	to have patience
perätä	to ask inquire try to find out
isännöidä	to host
oivaltaa	to realise/realize, become aware of, understand, perceive, recognise/recognize
uudistua	to be reformed, be modernised/modernized
kisata	to play
irrottaa	to loosen, free, detach, unfasten, undo
keventää	to lighten
ladata	to load
puuhata	to keep busy with
virittää	to activate
piillä	to be hidden in, lie in
pahoitella	to regret
vartioida	to guard
vihkiä	to marry, wed, join in holy matrimony
hidastua	to slow down
vähätellä	to underrate, underestimate
koittaa	to break, dawn
raivata	to clear, bulldoze
antautua	to surrender, capitulate
tarkentaa	to focus
ruokkia	to feed
murtua	to break, fracture
jalostaa	to refine
nopeuttaa	to speed up, expedite
noteerata	to quote
eristää	to isolate, seclude, sequester
startata	to start
tienata	to earn money
tiedustella	to inquire, enquire
juhlistaa	to solemnise/solemnize
puida	to thresh
kukkia	to blossom, bloom, be in flower/bloom, flower
tuumata	to think, opine
edistyä	to advance, proceed, make headway/strides, move/go ahead/forward, gain ground
pukea	to dress put on to clothe
suomentaa	to translate into Finnish
havitella	to go after
tippua	to drop
hämmästellä	to be amazed, astonished
pohdiskella	to reflect, contemplate
tukkia	to block, bar, obstruct
linjata	to align
povata	to divine, foretell
syöksyä	to rush, fall
roikkua	to hang
takavarikoida	to confiscate
jarruttaa	to brake
kasata	to pile, heap, stack
tiivistyä	to condense
vanhentua	to become old, to grow old, age
täsmentää	to clarify, define
väistyä	to yield, give way
imeä	to suck
tarjoutua	to occur
ajella	to drive, motor
edesmennä	to pass away
viestittää	to communicate
punnita	to weigh
sammuttaa	to put out, extinguish
hämmentää	to stir, agitate
maustaa	to season
jonottaa	to queue
kierrellä	to walk or drive around, wander
hajottaa	to scatter, disperse, break up, dissipate, drive off send scurrying
valottaa	to expose
kaksinkertaistua	to double
juontaa	to compere to host
nojata	to lean or to rest
tiedostaa	to be aware of
lämmetä	to warm up
evakuoida	to evacuate
palautua	to recover, revert
haukkua	to bark, yip, yelp, bay
tervehtiä	to greet
voimaantulla	to come into force
eksyä	"to get lost, go astray, lose one's way"
rajoittua	to abut, be limited, limit oneself, be restricted, restrict oneself
laukaista	to fire
rauhoittua	to calm down, relax, unwind
siunata	to bless
potea	to be sick with, have, suffer from
mieltää	to perceive
käskeä	to order, tell
kiivetä	to climb
sanella	to dictate
upottaa	to sink; to flood; to submerge, immerse
vaurioitua	to be damaged
kaapata	to capture, abduct, kidnap
langeta	to sin
kerääntyä	to accumulate
vahingoittaa	to damage
kohottaa	to elevate
hehkuttaa	to blaze
vanheta	to age
ahdistaa	to worry, distress, bother
uhrata	to sacrifice
piitata	to care about, worry about, bother oneself about, trouble oneself about
kaavoittaa	to zone
paisua	to swell
sammua	to go out/off
uusiutua	to recur
murskata	to crush, smash, shatter, pulverize
ryöstää	to rob, plunder
kuivua	to dry
uupua	to get tired, get exhausted, get fatigued
veikata	to guess, bet
summata	to add, sum
lupailla	to promise
saastua	to become polluted
erehtyä	to err, make a mistake
riisua	to undress, strip, take off
säestää	to accompany
liikennöidä	to run or operate a traffic line
potkia	to kick
patistaa	to push, press, urge
hermostua	to get nervous
ihastella	to admire
organisoida	to organise/organize
paheksua	to disapprove of, reprehend
päivystää	to be on call
tuijottaa	to stare
naurattaa	to make someone laugh
kunnostautua	to distinguish oneself
viipyä	to stay, remain
kutistua	to shrink
jyrätä	to roll flatten, level
kätkeä	to hide, conceal
jäätyä	to freeze
hukata	to lose, misplace
purkautua	to be dismantled, come apart
viihdyttää	to entertain
selostaa	to explicate, explain
langettaa	to give a verdict
meinata	to mean
valitella	to complain
puskea	to ram, push
ajoittua	to be dated
aistia	to sense
kalastaa	to fish
pidentää	to lengthen
hoitua	to be fixed, to happen in an effortless manner
huvittaa	to amuse
määrittää	to specify, determine, define, set
kelpuuttaa	to qualify, to accept, to pass, to settle for
heilua	to swing, to sway, to rock
surra	to mourn, grieve
tiukentaa	to tighten
valaa	to cast, mold, infuse
leipoa	to bake
ojentaa	to straighten stretch reach
suunnistaa	to go orienteering
piristää	to refresh
purjehtia	to sail
soitella	to play for fun, in a light-hearted way, without paying too much attention to playing exactly right
metsästää	to hunt
piipahtaa	to drop by
heittäytyä	to throw oneself
menetellä	to do, act, proceed
hellittää	"to loosen one's grip"
tilittää	to account for, account, report
laskeskella	to count
tallentaa	to record
väitellä	to argue, debate
kuultaa	to be translucent
alittaa	to pass underneath, go under
kummastella	to be amazed, astonished
huveta	to dwindle, decrease, shrink, vanish
varteenottaa	alternative form of ottaa varteen
tulittaa	to fire, shoot
lohduttaa	to comfort
takoa	to forge
kruunata	to crown
viitsiä	to bother
heijastaa	to reflect
lieventää	to mitigate, attenuate, extenuate
liikuttaa	to move
remontoida	to repair, refurbish
pyyhkiä	to wipe
jahdata	to chase, hunt
asioida	to transact/do business
painia	to wrestle
puhutella	to accost to speak to, to address
tehota	to affect, to have an effect on something
sulattaa	to melt
ylittyä	to be crossed, be surpassed, be gone over
kuivata	to dry
järjestellä	to arrange
varoitella	to warn
järjestyä	to be(come) organized
jäädyttää	to freeze
kyseenalaistaa	to question, doubt
levyttää	to make a musical record
hyödyttää	to benefit, be of use to, profit
pienentyä	to grow smaller
rynnätä	to rush
hahmottaa	to perceive
tunkea	to cram, squeeze
vaeltaa	to wander, roam, travel, trek, ramble
ponnistaa	to push
ideoida	to generate an idea of
näyttäytyä	to show up, appear
suosittaa	to recommend
määräytyä	to be determined by
konsertoida	to hold a musical concert
kuvastaa	to mirror, reflect an image
selittyä	to be explained
treenata	to work out, exercise
liioitella	to exaggerate, overstate
suistua	to fall, to tumble, especially accidentally and/or violently
siepata	to snatch, to catch, to nab, to grab
tulvia	to flood
lomauttaa	to lay off temporarily
väistää	to give way
aloitella	to start, begin
juuttua	to get stuck/caught/jammed
kilpailuttaa	to put out to tender, to publicly ask for bids for providing some service, or implementing a project thus causing a competition for the lowest bid
yhteenlaskea	alternative form of laskea yhteen
viritellä	to tune
johdattaa	to lead
venyttää	to stretch
sivuta	to be tangent to, touch
kohentua	to improve
kuulustella	to interrogate, question
ristiä	to christen, baptise/baptize
ammentaa	to scoop, draw, ladle
rohjeta	to can bring oneself dare venture have the nerve
räjäyttää	to detonate, blow up, blast, explode
ratsastaa	to ride
alistaa	to dominate, subject, subjugate, subordinate
vihjata	to suggest, to imply, to insinuate
murtautua	to break in
välittyä	to be transmitted, be conveyed, be forwarded, be passed on
vaivautua	to be bothered
edesauttaa	to further, support
murehtia	to worry
saneerata	to renovate
voimistua	to grow stronger
kylvää	to sow
otella	to compete
sukeltaa	to dive
syrjäytyä	to become marginalized
aseistaa	to arm, supply with arms
haikailla	to yearn for, pine for
sovitella	to mediate, reconcile
tapella	to fight
onnitella	to congratulate
horjua	to stagger, totter, lurch, teeter
taittua	to fold
karttua	to accumulate
ihmetyttää	to confuse, puzzle, befuddle, bewilder
katsastaa	to inspect, checkup
viestiä	to communicate
anastaa	"to take possession without the owner's permission, seize, grab, steal, purloin, annex, usurp"
koheta	become better
pohjustaa	to underlay, set up
arveluttaa	to look dubious/questionable/suspicious/shady to
muotoutua	to take shape
sotia	to be at war
kulkeutua	to drift
kuoria	to peel
kärjistyä	to culminate, to come to a head
varjostaa	to shade
väärentää	to falsify, counterfeit, forge
kastaa	to moisten
rakennuttaa	to have something built, constructed
jakaantua	to divide, split up
asuttaa	to inhabit, people, populate, settle, colonise/colonize
lupautua	to promise
itsenäistyä	to become independent
laantua	to abate, subside
uhkailla	to threaten
aikaansaada	to accomplish, work out, achieve, get something done
vihata	to hate
sivuuttaa	to skip, bypass
tokaista	to blurt, to blurt out
paheta	to worsen
pelkistää	to reduce
pesiä	to nest
ravistella	to shake
elvyttää	to resuscitate, revive, bring back to life, restore to life
ripustaa	to hang, hang up
horjuttaa	to destabilize
romuttaa	to scrap
vaikeutua	to get/become more difficult
koristella	to decorate
hyytyä	to congeal, coagulate, clot
sekaantua	to get mixed up
syventää	to deepen
hämmästyä	to be surprised, be amazed, be astonished
kuuluttaa	to announce
epäilyttää	to look suspicious/dubious/shady/fishy to
myöhästyä	to be late
heiluttaa	to wave, sway, wag
vajota	to sink
niittää	to mow, cut, scythe, reap
tuhlata	to squander, waste
herua	to trickle, ooze
puntaroida	to weight, consider
hävetä	to be ashamed
elättää	to maintain
arpoa	to draw lots, to raffle, to cast lots
haista	to smell to have a smell/scent/odor
mullistaa	to revolutionize, to devastate
viritä	to activate
riidellä	to quarrel
tupakoida	to smoke
piilottaa	to hide, conceal
itää	to germinate, sprout
liukua	to slide
houkuttaa	to tempt
masentaa	to depress
saalistaa	to prey, hunt
tipahtaa	to drop
noutaa	to fetch, retrieve
kotiutua	to nest, settle
sinetöidä	to seal
ulottaa	to extend
hoidella	to see to, take care
virkistää	to refresh
kiitää	to race, speed, fly, dash, scud
seikkailla	to adventure
alistua	to submit, give in, yield, surrender
arvailla	to guess
oikaista	to straighten, correct, rectify, amend, revise
peitellä	to cover
alentua	to stoop, condescend, lower oneself
pyörähtää	to twirl
vilkastua	to be enlivened, invigorated, animated or vitalized
tuulettaa	to air, ventilate, fan
kukoistaa	to thrive, boom, blossom
tasata	to divide into equal parts
huolettaa	to worry
väläyttää	to flash
hieroa	to massage
sivistyä	to be civilized
valtuuttaa	to authorize
yhdistellä	to combine
säteillä	to radiate
aseistautua	to arm oneself, supply oneself with arms:
ohjastaa	to rein
valikoida	to select
häipyä	to disappear, vanish to fade out/away
hymähtää	"to smile shortly, especially with a short ""hm"" sound"
rikkoutua	to break, break up, fall apart
teloittaa	to execute
pyöritellä	to rotate, roll, reel
lähetä	to become closer
huoltaa	to maintain, support, upkeep
kantautua	to carry, be carried, reach, emanate,
kariutua	to go on the rocks, founder
innoittaa	to inspire
päällystää	to coat, overlay, pave
laiminlyödä	"to neglect, be neglectful/negligent, to shirk one's responsibility"
suolata	to salt
valehdella	to lie, tell untruths
kontrolloida	to control
riemuita	to rejoice
yltyä	to rise
sysätä	to push, thrust
hellitä	to make it arrive reach
ravata	to trot
rokottaa	to vaccinate, inoculate
elpyä	to recover, revive, recuperate, return to strength/health/good condition
haalia	to scrape together
pelastua	to be saved, rescued
vaurioittaa	to damage
yöpyä	to stay overnight, stay the night
hurmata	to charm
kehaista	to praise
umpeutua	to close up
irviä	to mock, joke
käsikirjoittaa	to write a manuscript
karttaa	to avoid, stay away, shun, steer clear of
jäljittää	to track, trace
kehkeytyä	to become, develop, emerge
pyöräillä	to ride a cycle
saatella	to escort
kieliä	to indicate, suggest
pahentaa	to worsen
valistaa	to enlighten
pidellä	to hold, to handle
rinnastaa	to contrast
varjella	to protect
värittää	to colour/color
laukata	to gallop
kiinnittyä	to stick, become attached to, adhere to
kärjistää	to exaggerate by generalising/generalizing
hiljentää	to silence, mute, muffle
temmata	to snatch, grab, jerk, pull, tear
huolia	to accept
kampanjoida	to campaign
kyteä	to smoulder/smolder
kuvittaa	to illustrate
muhia	to brew
joutaa	to make it arrive reach
laueta	to go off
karsiutua	to be eliminated
pumpata	to pump
epäröidä	to hesitate
laskettaa	to have calculated make calculate
vierastaa	to be shy of
kastella	to wet
tasapainottaa	to balance, to stabilize
hajauttaa	to decentralize
rahastaa	to collect money, as eg at the entrance of something
kiehua	to boil
myötäillä	to conform
ontua	to limp
maistella	to taste
protestoida	to protest
seistä	to stand
eritellä	to analyse/analyze
kehdata	to be able to bring oneself to do something, dare, venture, have the nerve
astella	to step, pace
maistaa	to taste
pelotella	to intimidate
puukottaa	to stab
häikäistä	to blind, dazzle
leijua	to hover, float in air
nöyryyttää	to humiliate
kohdentaa	to target, allocate
vahtia	to guard, watch
keskeytyä	to be interrupted
levittäytyä	to spread out, radiate
viheltää	to whistle
hinnoitella	to price
sekoittua	to mix
asustaa	to dwell, reside
syrjiä	to discriminate against
aktivoida	to activate
eritä	to differ from
hiljetä	to become silent
pidetä	to grow longer
totella	to obey
tuoksua	to smell
sääliä	to pity
ajoittaa	to time
loppuunmyydä	to sell out (to sell every item of a product line or the entire inventory)
päivitellä	to bemoan, complain, regret
jättäytyä	to resign oneself, surrender
keikkua	to rock
turhautua	to get frustrated
urakoida	to labour/labor, work
puolustautua	to defend oneself
pysäköidä	to park
rikastua	to get rich
evätä	to deny somebody something, refuse to give something to somebody
hiertää	to abrade, chafe
kopioida	to copy
yksityistää	to privatize
nauhoittaa	to record
motivoitua	to bemotivated
sävyttää	dye
ommella	to sew
herätellä	to awaken
vyöryä	to billow
sahata	to saw
uhmata	to defy
sulautua	to merge
hankaloittaa	to complicate
säikähtää	to be startled/frightened/scared, take fright
häämöttää	to loom, come into view,
varastoida	to store
riistää	to take, rip, wrench, snatch
tuskailla	to agonize
värvätä	to recruit
sisäistää	to assimilate
särkyä	to break
lomailla	to vacation, holiday
otaksua	to presume, suppose, assume
valjastaa	to harness
lajitella	to sort
tuulla	to blow
asetella	to set
ennaltaehkäistä	to prevent from occurring
mietiskellä	to meditate, ponder, ruminate, contemplate
tukahduttaa	to smother
uumoilla	to suspect
vakuutella	to reassure
aavistaa	to anticipate
suuttua	to get angry
vitsailla	to joke, jest
yksinkertaistaa	to simplify, to water down
haavoittaa	to wound, injure, hurt
kaksinkertaistaa	to double
revetä	to rupture
vaania	to stalk, lurk, prowl
hämmentyä	to be confused
raueta	to abort, to lapse
rauhoitella	to pacify, appease, reassure, calm quiet
kirkastua	to grow brighter or clearer
luistaa	to slide
tupata	to cram, pack, stuff
vilkaista	to glance
touhuta	to bustle, flit, hustle, scamper, scurry, run around, run about
henkiä	to exude, radiate, bubble with, sparkle with, overflow with
hipoa	to touch to verge on
laskuttaa	to bill, invoice
kutoa	to weave
lohkaista	to split, chip off
uhota	to bluster
haihtua	to evaporate
masentua	to become/get depressed
tepsiä	to do the trick, to work okay
kurkistaa	to peek
kiiltää	to shine, glitter
ilahtua	to bedelighted, bepleased
ilmentää	to express
lukita	to lock
kiskoa	to pull, wrench, tug, tear
laata	to cease
ratifioida	to ratify
hahmottua	to take shape
häätää	to evict
liehua	to flutter
pimetä	to darken
periytyä	to be inherited
raiskata	to rape
huokua	to exhale
hyppiä	to jump hop
ohjautua	to move into direction
taltioida	to record
kostautua	to backfire
lastata	to load, lade
ansioitua	to merit
lietsoa	to blow air into a fire or embers to make them burn better or in a higher temperature
venähtää	to bolt
kahmia	to hoard, mass, amass
kuroa	to gather
rapistua	to deteriorate
ruotia	to debone
tuumailla	to think, ponder
hätkähdyttää	to startle
soutaa	to row
höystää	to season, flavour/flavor
peilata	to mirror
ponnistella	to struggle, strive
eläytyä	to empathise/empathize
päivätä	to date
veistää	to carve, cut
velloa	to churn, swirl about, mill
kuihtua	to wilt
sonnustautua	to don clothing
ihastuttaa	to delight, fascinate, thrill
loihtia	to conjure
tilastoida	to compile statistics
työllistyä	to become employed
parannella	to revamp, polish
voidella	to grease, oil, lubricate
kuohua	to roil
ripotella	to sprinkle
uusi	new
hyvä	good; desirable, advisable
suuri	big; large; great
oma	own
koko	whole, entire; all
pieni	little, small
vanha	old
tärkeä	important
eri	different, other, another; separate
entinen	former, erstwhile
suomalainen	a Finn; Finnish, of or relating to Finland; of or relating to the Finnish language
vuotias	-year-old, years old
viimeinen	last, final; dying
nykyinen	current, present
pitkä	long; tall
sellainen	such (a); that kind of
kansainvälinen	international
kova	hard; hard, strict, harsh; loud; hard, heavy; severe; live; hardcore
vaikea	Difficult, hard.
nuori	young
mahdollinen	possible; viable; prospective; contingent
korkea	tall, high
iso	big; large; great; In some compound terms, grand.
erilainen	different; various
yhteinen	common, shared, joint; As modifier in compound terms signifies collaborative, collective, co-, co-ed.
valmis	completed, finished; ready, poised, set up; ready-made; prefabricated, prefab; prehung
poliittinen	political
tällainen	this kind of
paha	bad, ill; evil; difficult, hard, tricky
oikea	right (hand, direction); right, correct; appropriate, proper, fitting; real, true; just, fair
vahva	strong, able-bodied, brawny, burly, powerful; thick
selvä	clear; free; sober; distinct; plain; obvious; unmistakable; lucid; evident
ainoa	only, sole; only
helppo	easy
laaja	wide, broad, vast; extensive, comprehensive
huono	bad; poor
yleinen	common, widespread; mutual; generic, general, universal, pan, all-.
tuttu	familiar
edellinen	previous
välinen	between, in between
tavallinen	ordinary; usual; normal; trivial; habitual; random; plain; standard
merkittävä	significant, prominent; remarkable, notable
runsas	abundant
perinteinen	traditional
taloudellinen	prudent, frugal, thrifty; economic; financial
nopea	quick, fast, rapid
tyytyväinen	content, satisfied
paikallinen	local
avoin	open; open-minded; vacant; unlimited; free
varsinainen	proper; essential; true; actual; ordinary; real
julkinen	public; unclassified
tuore	fresh; new, recent; original
tiukka	tight; taut
täysi	full
keskeinen	pivotal, central, crucial; vocabulary
kotimainen	domestic
todellinen	real; actual
lyhyt	short
pelkkä	mere; only, nothing but; sheer, pure; bare; all
varma	sure, certain
kallis	expensive; dear
vapaa	free; spare; vacant; unmarried, single; free-range
vajaa	not full; shy; mentally retarded
tarkka	Exact, precise, pedantic, strict, accurate.
vakava	serious
kaunis	beautiful
tekninen	technical
virallinen	official
reilu	fair, just; generous; sincere, frank, honest
yksityinen	private; personal
raskas	heavy
vastaava	corresponding, similar, having equal effect
tietty	certain; designated
eurooppalainen	European
amerikkalainen	American
heikko	weak; faint; feeble; infirm; frail; delicate; slight; poor; light; slender; meager
ulkomainen	foreign
hieno	fine; elegant; exquisite; great, wonderful
aikainen	early; from the times of
voimakas	powerful; strong
venäläinen	Russian
aiempi	Earlier.
halpa	cheap
turha	useless, unnecessary; futile; pointless
myönteinen	positive; favourable/favorable:; affirmative.
kylmä	cold; level
selkeä	clear, sunny; Up to 1/8 covered by clouds.; clear
samanlainen	similar; equivalent, identical
lopullinen	final, ultimate; definitive; decisive; peremptory
väärä	wrong, incorrect; false; crooked; illogical, illegitimate; counterfeit
vastainen	anti-, in-, un-; occurring in the future; the eve before
millainen	what kind of?
valtakunnallinen	national; nationwide
kiinnostunut	interested, attracted
kuollut	dead
suora	straight; right; direct; frank
mukava	nice, pleasant; affable
puhdas	clean; clean, unpolluted; clear, clean, innocent; pure, undiluted, absolute, neat; net; naked; sheer
mielenkiintoinen	interesting
henkilökohtainen	personal, intimate; face-to-face, vis-à-vis
sisäinen	internal
ylimääräinen	excessive, redundant, extra, extraordinary, special, additional, accessory, surplus
vähäinen	slight; diminutive
saksalainen	German, of or relating to Germany; German, relating to the German language
tamperelainen	Of or pertaining to the city of Tampere or its citizens.
henkinen	mental; spiritual
harvinainen	rare
yksittäinen	sporadic; single; isolated; separate
mahdoton	impossible
syvä	deep; deep-water
lämmin	warm
mukainen	consistent, compatible
sosiaalinen	social, extroverted, outgoing; of or relating to society
turkulainen	Of or pertaining to the city of Turku or its citizens.
tyhjä	empty
vaarallinen	dangerous
hankala	difficult, challenging; cumbersome, troublesome, burdensome, wearisome; inconvenient; awkward
musta	black
alueellinen	regional
turvallinen	safe; comfortable
arvokas	precious; expensive, pricey; dignified; dear
pohjoinen	northern
erityinen	special; specific
kevyt	light
melkoinen	considerable, quite a
ranskalainen	French; In combined terms appears usually in the form ranskalais-, the English equivalent being franco- or Franco-.
valtava	huge, vast, colossal
itsenäinen	independent
vähä	little, few, scarce
alkuperäinen	Original.
tasainen	even, flat; constant; stable
hauska	pleasant; merry; fun;
johtava	leading; premiere; conducting
kuuma	hot
historiallinen	historical
vieras	unfamiliar; foreign
aktiivinen	active
valkoinen	white
yhteiskunnallinen	social, societal
ulkopuolinen	external; extra-
kaltainen	-like, similar
iloinen	happy; glad
terve	healthy, sane; healthy, sound; sound, well; sound; able-bodied
lukuisa	numerous
komea	handsome
kyseinen	in question
täydellinen	perfect; complete
aito	real, authentic; bona fide
raju	fierce; violent
punainen	red
erinomainen	excellent, outstanding
välttämätön	inevitable, necessary, essential
positiivinen	Having positive charge.; Positive
monipuolinen	versatile, diverse; multifaceted, many-sided
jonkinlainen	some kind of a
alhainen	lowly; ignoble
yksinkertainen	Of one, unique, single, singular.; simple, basic; absolute; simple minded
vilkas	lively, vivacious, perky; vivid; quick, fast; busy, heavy
edullinen	advantageous; inexpensive, cheap
mittainen	measuring, of a measure, being of a certain size, length or height
rauhallinen	Peaceful, quiet, restful, serene, tranquil.
hiljainen	quiet; silent; tacit; untalkative, taciturn
vihreä	green
outo	Strange.
upea	great, wonderful; gorgeous, great, magnificent, posh
huomattava	Notable, remarkable, prominent.
järkevä	reasonable; sensible
ilmainen	Gratis, free.
kristillinen	Christian
törkeä	coarse, boorish, base.; indecent, obscene, disgusting, distasteful offensivegross.; gross, grave, grand, felonious, aggravated:
vasen	left
helsinkiläinen	Helsinkian, of Helsinki
erillinen	separate, dividual; detached, unattached
sotilaallinen	military
takainen	located behind something
arvoinen	worth
ehdoton	absolute, unconditional; best
matala	low; shallow
todennäköinen	likely, probable
pohjoismainen	Nordic
pitkäaikainen	long-term; chronic; secular
tuntematon	unknown; anonymous
hidas	slow
tyypillinen	typical
rikas	rich; wealthy; opulent
hurja	fierce; fantastic, terrific
mahtava	grand, magnificent, awesome, great; mighty, powerful, awesome; awesome
monenlainen	of many kinds, many kinds of
olennainen	essential; integral
jälkeinen	following, post-
kunnallinen	municipal
keskinäinen	mutual
onnellinen	happy
kuiva	dry
vaativa	demanding
kuuluisa	famous
keskimääräinen	average; mediocre
tiivis	tight, compact, dense
pimeä	dark; under-the-counter; crazy.
köyhä	poor, not rich
italialainen	Italian
erikoinen	Special, exceptional, out of the ordinary.; Peculiar, odd, strange.; Distinctive, characteristic, particular, typical.; Specific, especial, certain, own.
kiva	nice; fun, neat
moderni	modern
tarpeellinen	necessary; essential
ajankohtainen	current
ammatillinen	occupational, vocational
mittava	large, big, great, extensive, large-scale
luonnollinen	natural
viisas	wise
läntinen	western
kirjallinen	written; literary
näköinen	looking like someone or something. That to which the looks are compared is in genitive.; As main word of a combined adjective, -looking, -like; As main word of a combined adjective, -sighted, -eyed
läheinen	close, near, adjacent; close, intimate, familiar
herkkä	delicate, vulnerable; physically sensitive, tender; sensitive, easily offended; quick to react
laiton	unlawful, illicit, illegitimate
fyysinen	physical
kohtuullinen	moderate; fair, reasonable
minkäänlainen	whatsoever, of any kind
pyhä	holy, sacred; when capitalized, Saint; when used as modifier in compound term Sunday, dominical, Sunday-go-to-meeting, holy etc.
eteläinen	southern, southerly
ylivoimainen	overpowering, overwhelming
taiteellinen	Artistic
yhtenäinen	uniform; coherent; homogeneous; connected
englantilainen	English, of or relating to England.; English, relating to the English language.
palestiinalainen	Palestinian.
salainen	secret, clandestine; arcane
silloinen	of that time
klassinen	classic
vakaa	steady, stable, firm, steadfast, secure; patient, calm
sähköinen	electrical
demokraattinen	democratic; In connection with US domestic politics also blue.
